"항목","시점","통계분류(1)",통계분류(2),데이터
"기술스태프","2018","예술활동 분야별",영화,19.7
"기술스태프","2018","예술활동 분야별",만화,0
"기술스태프","2018","예술활동 분야별",기타,3.3
"기술스태프","2018","권역별",서울,4
"기술스태프","2018","권역별",인천/경기,1.8
"기술스태프","2018","권역별",부산/울산/대구/경북/경남,2
"기술스태프","2018","권역별",대전/충청/강원,1
"기술스태프","2018","권역별",광주/전라/제주,0.7
"기술스태프","2018","권역별",모름/무응답,2
"기술스태프","2018","성별",남성,3.1
"기술스태프","2018","성별",여성,1.6
"기술스태프","2018","연령별",39세 이하,4.7
"기술스태프","2018","연령별",40대,2.4
"기술스태프","2018","연령별",50대,2.6
"기술스태프","2018","연령별",60세이상,0.3
"기술스태프","2018","학력별",고졸 이하,1.9
"기술스태프","2018","학력별",대졸,3.4
"기술스태프","2018","학력별",대학원이상,1.4
"기술스태프","2018","학력별",모름/무응답,3.1
"기술스태프","2018","가구소득별",하(3000만원 미만),3.4
"기술스태프","2018","가구소득별",중(3~5000만원 미만),2.3
"기술스태프","2018","가구소득별",상(5000만원 이상),1.2
"성악가","2018","전체",소계,2
"성악가","2018","예술활동 분야별",문학,0
"성악가","2018","예술활동 분야별",미술,0
"성악가","2018","예술활동 분야별",공예,0
"성악가","2018","예술활동 분야별",사진,0
"성악가","2018","예술활동 분야별",건축,1.8
"성악가","2018","예술활동 분야별",음악,30.1
"성악가","2018","예술활동 분야별",국악,1.3
"성악가","2018","예술활동 분야별",대중음악,0
"성악가","2018","예술활동 분야별",방송,0
"성악가","2018","예술활동 분야별",무용,0
"성악가","2018","예술활동 분야별",연극,0
"성악가","2018","예술활동 분야별",영화,0
"성악가","2018","예술활동 분야별",만화,0
"성악가","2018","예술활동 분야별",기타,0.3
"성악가","2018","권역별",서울,2.3
"성악가","2018","권역별",인천/경기,2
"성악가","2018","권역별",부산/울산/대구/경북/경남,2.1
"성악가","2018","권역별",대전/충청/강원,1.8
"성악가","2018","권역별",광주/전라/제주,1.9
"성악가","2018","권역별",모름/무응답,0
"성악가","2018","성별",남성,2
"성악가","2018","성별",여성,2.1
"성악가","2018","연령별",39세 이하,1.4
"성악가","2018","연령별",40대,3.4
"성악가","2018","연령별",50대,2.5
"성악가","2018","연령별",60세이상,1.4
"성악가","2018","학력별",고졸 이하,0.3
"성악가","2018","학력별",대졸,1.6
"성악가","2018","학력별",대학원이상,4.2
"성악가","2018","학력별",모름/무응답,0
"성악가","2018","가구소득별",하(3000만원 미만),1.4
"성악가","2018","가구소득별",중(3~5000만원 미만),2.2
"성악가","2018","가구소득별",상(5000만원 이상),3
"건축가","2018","전체",소계,2.4
"건축가","2018","예술활동 분야별",문학,0
"건축가","2018","예술활동 분야별",미술,1.4
"건축가","2018","예술활동 분야별",공예,0
"건축가","2018","예술활동 분야별",사진,0.6
"건축가","2018","예술활동 분야별",건축,92
"건축가","2018","예술활동 분야별",음악,0
"건축가","2018","예술활동 분야별",국악,0
"건축가","2018","예술활동 분야별",대중음악,0
"건축가","2018","예술활동 분야별",방송,0
"건축가","2018","예술활동 분야별",무용,0
"건축가","2018","예술활동 분야별",연극,0
"건축가","2018","예술활동 분야별",영화,0
"건축가","2018","예술활동 분야별",만화,0
"건축가","2018","예술활동 분야별",기타,1.1
"건축가","2018","권역별",서울,3.4
"건축가","2018","권역별",인천/경기,1.3
"건축가","2018","권역별",부산/울산/대구/경북/경남,2
"건축가","2018","권역별",대전/충청/강원,1.4
"건축가","2018","권역별",광주/전라/제주,1.6
"건축가","2018","권역별",모름/무응답,3.6
"건축가","2018","성별",남성,3.7
"건축가","2018","성별",여성,0.3
"건축가","2018","연령별",39세 이하,0.1
"건축가","2018","연령별",40대,2.4
"건축가","2018","연령별",50대,3.7
"건축가","2018","연령별",60세이상,4
"건축가","2018","학력별",고졸 이하,0
"건축가","2018","학력별",대졸,2.1
"건축가","2018","학력별",대학원이상,4.6
"건축가","2018","학력별",모름/무응답,1.3
"건축가","2018","가구소득별",하(3000만원 미만),1
"건축가","2018","가구소득별",중(3~5000만원 미만),1.3
"건축가","2018","가구소득별",상(5000만원 이상),5.5
"안무가","2018","전체",소계,1.6
"안무가","2018","예술활동 분야별",문학,0
"안무가","2018","예술활동 분야별",미술,0
"안무가","2018","예술활동 분야별",공예,0
"안무가","2018","예술활동 분야별",사진,0
"안무가","2018","예술활동 분야별",건축,0
"안무가","2018","예술활동 분야별",음악,0
"안무가","2018","예술활동 분야별",국악,0.1
"안무가","2018","예술활동 분야별",대중음악,0.3
"안무가","2018","예술활동 분야별",방송,2.6
"안무가","2018","예술활동 분야별",무용,31.8
"안무가","2018","예술활동 분야별",연극,2.2
"안무가","2018","예술활동 분야별",영화,0
"안무가","2018","예술활동 분야별",만화,0
"안무가","2018","예술활동 분야별",기타,0.2
"안무가","2018","권역별",서울,2.8
"안무가","2018","권역별",인천/경기,1.2
"안무가","2018","권역별",부산/울산/대구/경북/경남,1.1
"안무가","2018","권역별",대전/충청/강원,0.6
"안무가","2018","권역별",광주/전라/제주,0.1
"안무가","2018","권역별",모름/무응답,0
"안무가","2018","성별",남성,1.3
"안무가","2018","성별",여성,2.2
"안무가","2018","연령별",39세 이하,3.2
"안무가","2018","연령별",40대,2.3
"안무가","2018","연령별",50대,0.5
"안무가","2018","연령별",60세이상,0.3
"안무가","2018","학력별",고졸 이하,1.4
"안무가","2018","학력별",대졸,0.7
"안무가","2018","학력별",대학원이상,3.5
"안무가","2018","학력별",모름/무응답,0.1
"안무가","2018","가구소득별",하(3000만원 미만),1.9
"안무가","2018","가구소득별",중(3~5000만원 미만),1.7
"안무가","2018","가구소득별",상(5000만원 이상),1.1
"만화가","2018","전체",소계,1.4
"만화가","2018","예술활동 분야별",문학,0.2
"만화가","2018","예술활동 분야별",미술,1.1
"만화가","2018","예술활동 분야별",공예,0
"만화가","2018","예술활동 분야별",사진,0
"만화가","2018","예술활동 분야별",건축,0
"만화가","2018","예술활동 분야별",음악,0
"만화가","2018","예술활동 분야별",국악,0
"만화가","2018","예술활동 분야별",대중음악,0
"만화가","2018","예술활동 분야별",방송,0
"만화가","2018","예술활동 분야별",무용,0
"만화가","2018","예술활동 분야별",연극,0
"만화가","2018","예술활동 분야별",영화,0.8
"만화가","2018","예술활동 분야별",만화,96.4
"만화가","2018","예술활동 분야별",기타,0.1
"만화가","2018","권역별",서울,1.7
"만화가","2018","권역별",인천/경기,2
"만화가","2018","권역별",부산/울산/대구/경북/경남,0.5
"만화가","2018","권역별",대전/충청/강원,1.6
"만화가","2018","권역별",광주/전라/제주,0.3
"만화가","2018","권역별",모름/무응답,0
"만화가","2018","성별",남성,1.4
"만화가","2018","성별",여성,1.4
"만화가","2018","연령별",39세 이하,2.2
"만화가","2018","연령별",40대,1.6
"만화가","2018","연령별",50대,1
"만화가","2018","연령별",60세이상,0.6
"만화가","2018","학력별",고졸 이하,2.9
"만화가","2018","학력별",대졸,1.3
"만화가","2018","학력별",대학원이상,0.5
"만화가","2018","학력별",모름/무응답,1.8
"만화가","2018","가구소득별",하(3000만원 미만),1.4
"만화가","2018","가구소득별",중(3~5000만원 미만),1.1
"만화가","2018","가구소득별",상(5000만원 이상),1.5
"성우","2018","전체",소계,1.3
"성우","2018","예술활동 분야별",문학,0
"성우","2018","예술활동 분야별",미술,0
"성우","2018","예술활동 분야별",공예,0
"성우","2018","예술활동 분야별",사진,0
"성우","2018","예술활동 분야별",건축,0
"성우","2018","예술활동 분야별",음악,0
"성우","2018","예술활동 분야별",국악,0
"성우","2018","예술활동 분야별",대중음악,0.5
"성우","2018","예술활동 분야별",방송,18
"성우","2018","예술활동 분야별",무용,0
"성우","2018","예술활동 분야별",연극,0.6
"성우","2018","예술활동 분야별",영화,0
"성우","2018","예술활동 분야별",만화,0
"성우","2018","예술활동 분야별",기타,2.1
"성우","2018","권역별",서울,1.6
"성우","2018","권역별",인천/경기,1.6
"성우","2018","권역별",부산/울산/대구/경북/경남,1.1
"성우","2018","권역별",대전/충청/강원,0.4
"성우","2018","권역별",광주/전라/제주,0.2
"성우","2018","권역별",모름/무응답,2.5
"성우","2018","성별",남성,1.1
"성우","2018","성별",여성,1.7
"성우","2018","연령별",39세 이하,1
"성우","2018","연령별",40대,2.4
"성우","2018","연령별",50대,0.8
"성우","2018","연령별",60세이상,1.3
"성우","2018","학력별",고졸 이하,1.1
"성우","2018","학력별",대졸,1.6
"성우","2018","학력별",대학원이상,1.2
"성우","2018","학력별",모름/무응답,0
"성우","2018","가구소득별",하(3000만원 미만),0.8
"성우","2018","가구소득별",중(3~5000만원 미만),0.6
"성우","2018","가구소득별",상(5000만원 이상),2.8
"전통예능인","2018","전체",소계,1.2
"전통예능인","2018","예술활동 분야별",문학,0
"전통예능인","2018","예술활동 분야별",미술,0.6
"전통예능인","2018","예술활동 분야별",공예,0
"전통예능인","2018","예술활동 분야별",사진,0.2
"전통예능인","2018","예술활동 분야별",건축,0
"전통예능인","2018","예술활동 분야별",음악,0
"전통예능인","2018","예술활동 분야별",국악,7.4
"전통예능인","2018","예술활동 분야별",대중음악,0
"전통예능인","2018","예술활동 분야별",방송,0.5
"전통예능인","2018","예술활동 분야별",무용,1.5
"전통예능인","2018","예술활동 분야별",연극,1.5
"전통예능인","2018","예술활동 분야별",영화,0
"전통예능인","2018","예술활동 분야별",만화,0
"전통예능인","2018","예술활동 분야별",기타,6.4
"전통예능인","2018","권역별",서울,2.1
"전통예능인","2018","권역별",인천/경기,0.2
"전통예능인","2018","권역별",부산/울산/대구/경북/경남,0.8
"전통예능인","2018","권역별",대전/충청/강원,1.2
"전통예능인","2018","권역별",광주/전라/제주,0.6
"전통예능인","2018","권역별",모름/무응답,1.5
"전통예능인","2018","성별",남성,1.3
"전통예능인","2018","성별",여성,1.1
"전통예능인","2018","연령별",39세 이하,0.6
"전통예능인","2018","연령별",40대,0.6
"전통예능인","2018","연령별",50대,1
"전통예능인","2018","연령별",60세이상,2.6
"전통예능인","2018","학력별",고졸 이하,0.9
"전통예능인","2018","학력별",대졸,0.6
"전통예능인","2018","학력별",대학원이상,1.3
"전통예능인","2018","학력별",모름/무응답,19.3
"전통예능인","2018","가구소득별",하(3000만원 미만),1.9
"전통예능인","2018","가구소득별",중(3~5000만원 미만),0.8
"전통예능인","2018","가구소득별",상(5000만원 이상),0.5
"지휘자","2018","전체",소계,1.2
"지휘자","2018","예술활동 분야별",문학,0
"지휘자","2018","예술활동 분야별",미술,0
"지휘자","2018","예술활동 분야별",공예,0
"지휘자","2018","예술활동 분야별",사진,0
"지휘자","2018","예술활동 분야별",건축,0
"지휘자","2018","예술활동 분야별",음악,15
"지휘자","2018","예술활동 분야별",국악,4.8
"지휘자","2018","예술활동 분야별",대중음악,0.3
"지휘자","2018","예술활동 분야별",방송,0
"지휘자","2018","예술활동 분야별",무용,0
"지휘자","2018","예술활동 분야별",연극,0
"지휘자","2018","예술활동 분야별",영화,0
"지휘자","2018","예술활동 분야별",만화,0
"지휘자","2018","예술활동 분야별",기타,0
"지휘자","2018","권역별",서울,0.9
"지휘자","2018","권역별",인천/경기,2
"지휘자","2018","권역별",부산/울산/대구/경북/경남,0.5
"지휘자","2018","권역별",대전/충청/강원,2.2
"지휘자","2018","권역별",광주/전라/제주,0.3
"지휘자","2018","권역별",모름/무응답,2.9
"지휘자","2018","성별",남성,1.7
"지휘자","2018","성별",여성,0.4
"지휘자","2018","연령별",39세 이하,0.5
"지휘자","2018","연령별",40대,1.5
"지휘자","2018","연령별",50대,2.7
"지휘자","2018","연령별",60세이상,0.7
"지휘자","2018","학력별",고졸 이하,0.2
"지휘자","2018","학력별",대졸,1.3
"지휘자","2018","학력별",대학원이상,1.7
"지휘자","2018","학력별",모름/무응답,0
"지휘자","2018","가구소득별",하(3000만원 미만),0.8
"지휘자","2018","가구소득별",중(3~5000만원 미만),1
"지휘자","2018","가구소득별",상(5000만원 이상),2.1
"평론가","2018","전체",소계,1.1
"평론가","2018","예술활동 분야별",문학,4
"평론가","2018","예술활동 분야별",미술,0.5
"평론가","2018","예술활동 분야별",공예,0
"평론가","2018","예술활동 분야별",사진,0
"평론가","2018","예술활동 분야별",건축,0.5
"평론가","2018","예술활동 분야별",음악,0.3
"평론가","2018","예술활동 분야별",국악,0
"평론가","2018","예술활동 분야별",대중음악,0
"평론가","2018","예술활동 분야별",방송,0.5
"평론가","2018","예술활동 분야별",무용,1
"평론가","2018","예술활동 분야별",연극,3
"평론가","2018","예술활동 분야별",영화,1.3
"평론가","2018","예술활동 분야별",만화,0.6
"평론가","2018","예술활동 분야별",기타,2.8
"평론가","2018","권역별",서울,1.6
"평론가","2018","권역별",인천/경기,0.3
"평론가","2018","권역별",부산/울산/대구/경북/경남,0.7
"평론가","2018","권역별",대전/충청/강원,0.8
"평론가","2018","권역별",광주/전라/제주,0.1
"평론가","2018","권역별",모름/무응답,5.6
"평론가","2018","성별",남성,1.1
"평론가","2018","성별",여성,1.1
"평론가","2018","연령별",39세 이하,0.5
"평론가","2018","연령별",40대,1.9
"평론가","2018","연령별",50대,0.8
"평론가","2018","연령별",60세이상,1.4
"평론가","2018","학력별",고졸 이하,0.4
"평론가","2018","학력별",대졸,0.7
"평론가","2018","학력별",대학원이상,2.1
"평론가","2018","학력별",모름/무응답,3.2
"평론가","2018","가구소득별",하(3000만원 미만),0.8
"평론가","2018","가구소득별",중(3~5000만원 미만),1.2
"평론가","2018","가구소득별",상(5000만원 이상),1.5
"모델","2018","전체",소계,0.7
"모델","2018","예술활동 분야별",문학,0
"모델","2018","예술활동 분야별",미술,0
"모델","2018","예술활동 분야별",공예,0
"모델","2018","예술활동 분야별",사진,0
"모델","2018","예술활동 분야별",건축,0
"모델","2018","예술활동 분야별",음악,0
"모델","2018","예술활동 분야별",국악,0.1
"모델","2018","예술활동 분야별",대중음악,0.2
"모델","2018","예술활동 분야별",방송,7.2
"모델","2018","예술활동 분야별",무용,0.2
"모델","2018","예술활동 분야별",연극,2.1
"모델","2018","예술활동 분야별",영화,0.9
"모델","2018","예술활동 분야별",만화,0
"모델","2018","예술활동 분야별",기타,0
"모델","2018","권역별",서울,1.6
"모델","2018","권역별",인천/경기,0.1
"모델","2018","권역별",부산/울산/대구/경북/경남,0.2
"모델","2018","권역별",대전/충청/강원,0
"모델","2018","권역별",광주/전라/제주,0.2
"모델","2018","권역별",모름/무응답,0
"모델","2018","성별",남성,0.6
"모델","2018","성별",여성,0.9
"모델","2018","연령별",39세 이하,1
"모델","2018","연령별",40대,1.7
"모델","2018","연령별",50대,0.3
"모델","2018","연령별",60세이상,0.1
"모델","2018","학력별",고졸 이하,1.8
"모델","2018","학력별",대졸,0.7
"모델","2018","학력별",대학원이상,0.1
"모델","2018","학력별",모름/무응답,0.7
"모델","2018","가구소득별",하(3000만원 미만),1
"모델","2018","가구소득별",중(3~5000만원 미만),0.4
"모델","2018","가구소득별",상(5000만원 이상),0.4
"기술감독","2018","전체",소계,0.7
"기술감독","2018","예술활동 분야별",문학,0
"기술감독","2018","예술활동 분야별",미술,0
"기술감독","2018","예술활동 분야별",공예,0
"기술감독","2018","예술활동 분야별",사진,0.1
"기술감독","2018","예술활동 분야별",건축,0
"기술감독","2018","예술활동 분야별",음악,0.6
"기술감독","2018","예술활동 분야별",국악,0.7
"기술감독","2018","예술활동 분야별",대중음악,0.6
"기술감독","2018","예술활동 분야별",방송,0.6
"기술감독","2018","예술활동 분야별",무용,0
"기술감독","2018","예술활동 분야별",연극,2
"기술감독","2018","예술활동 분야별",영화,5.7
"기술감독","2018","예술활동 분야별",만화,0
"기술감독","2018","예술활동 분야별",기타,0.8
"기술감독","2018","권역별",서울,0.8
"기술감독","2018","권역별",인천/경기,0.5
"기술감독","2018","권역별",부산/울산/대구/경북/경남,0.6
"기술감독","2018","권역별",대전/충청/강원,0.7
"기술감독","2018","권역별",광주/전라/제주,0.1
"기술감독","2018","권역별",모름/무응답,1.5
"기술감독","2018","성별",남성,0.9
"기술감독","2018","성별",여성,0.2
"기술감독","2018","연령별",39세 이하,1.6
"기술감독","2018","연령별",40대,0.4
"기술감독","2018","연령별",50대,0.3
"기술감독","2018","연령별",60세이상,0.1
"기술감독","2018","학력별",고졸 이하,0.7
"기술감독","2018","학력별",대졸,0.8
"기술감독","2018","학력별",대학원이상,0.4
"기술감독","2018","학력별",모름/무응답,0
"기술감독","2018","가구소득별",하(3000만원 미만),0.9
"기술감독","2018","가구소득별",중(3~5000만원 미만),0.6
"기술감독","2018","가구소득별",상(5000만원 이상),0.3
"국악작곡가및편곡가","2018","전체",소계,0.6
"국악작곡가및편곡가","2018","예술활동 분야별",문학,0
"국악작곡가및편곡가","2018","예술활동 분야별",미술,0
"국악작곡가및편곡가","2018","예술활동 분야별",공예,0
"국악작곡가및편곡가","2018","예술활동 분야별",사진,0
"국악작곡가및편곡가","2018","예술활동 분야별",건축,0
"국악작곡가및편곡가","2018","예술활동 분야별",음악,1.3
"국악작곡가및편곡가","2018","예술활동 분야별",국악,5.2
"국악작곡가및편곡가","2018","예술활동 분야별",대중음악,1.1
"국악작곡가및편곡가","2018","예술활동 분야별",방송,0
"국악작곡가및편곡가","2018","예술활동 분야별",무용,0.9
"국악작곡가및편곡가","2018","예술활동 분야별",연극,0.3
"국악작곡가및편곡가","2018","예술활동 분야별",영화,0
"국악작곡가및편곡가","2018","예술활동 분야별",만화,0
"국악작곡가및편곡가","2018","예술활동 분야별",기타,0.4
"국악작곡가및편곡가","2018","권역별",서울,0.7
"국악작곡가및편곡가","2018","권역별",인천/경기,0.2
"국악작곡가및편곡가","2018","권역별",부산/울산/대구/경북/경남,0.8
"국악작곡가및편곡가","2018","권역별",대전/충청/강원,0.6
"국악작곡가및편곡가","2018","권역별",광주/전라/제주,0.3
"국악작곡가및편곡가","2018","권역별",모름/무응답,0.9
"국악작곡가및편곡가","2018","성별",남성,0.6
"국악작곡가및편곡가","2018","성별",여성,0.6
"국악작곡가및편곡가","2018","연령별",39세 이하,0.6
"국악작곡가및편곡가","2018","연령별",40대,1
"국악작곡가및편곡가","2018","연령별",50대,0.4
"국악작곡가및편곡가","2018","연령별",60세이상,0.4
"국악작곡가및편곡가","2018","학력별",고졸 이하,0.8
"국악작곡가및편곡가","2018","학력별",대졸,0.5
"국악작곡가및편곡가","2018","학력별",대학원이상,0.4
"국악작곡가및편곡가","2018","학력별",모름/무응답,2.6
"국악작곡가및편곡가","2018","가구소득별",하(3000만원 미만),0.6
"국악작곡가및편곡가","2018","가구소득별",중(3~5000만원 미만),0.5
"국악작곡가및편곡가","2018","가구소득별",상(5000만원 이상),0.6
"희극인(개그맨 및 코미디언)","2018","전체",소계,0.3
"희극인(개그맨 및 코미디언)","2018","예술활동 분야별",문학,0
"희극인(개그맨 및 코미디언)","2018","예술활동 분야별",미술,0
"희극인(개그맨 및 코미디언)","2018","예술활동 분야별",공예,0
"희극인(개그맨 및 코미디언)","2018","예술활동 분야별",사진,0
"희극인(개그맨 및 코미디언)","2018","예술활동 분야별",건축,0
"희극인(개그맨 및 코미디언)","2018","예술활동 분야별",음악,0
"희극인(개그맨 및 코미디언)","2018","예술활동 분야별",국악,0
"희극인(개그맨 및 코미디언)","2018","예술활동 분야별",대중음악,0
"희극인(개그맨 및 코미디언)","2018","예술활동 분야별",방송,4.2
"희극인(개그맨 및 코미디언)","2018","예술활동 분야별",무용,0
"희극인(개그맨 및 코미디언)","2018","예술활동 분야별",연극,0.1
"희극인(개그맨 및 코미디언)","2018","예술활동 분야별",영화,0
"희극인(개그맨 및 코미디언)","2018","예술활동 분야별",만화,0
"희극인(개그맨 및 코미디언)","2018","예술활동 분야별",기타,0
"희극인(개그맨 및 코미디언)","2018","권역별",서울,0.4
"희극인(개그맨 및 코미디언)","2018","권역별",인천/경기,0.2
"희극인(개그맨 및 코미디언)","2018","권역별",부산/울산/대구/경북/경남,0.1
"희극인(개그맨 및 코미디언)","2018","권역별",대전/충청/강원,0
"희극인(개그맨 및 코미디언)","2018","권역별",광주/전라/제주,0.4
"희극인(개그맨 및 코미디언)","2018","권역별",모름/무응답,0
"희극인(개그맨 및 코미디언)","2018","성별",남성,0.2
"희극인(개그맨 및 코미디언)","2018","성별",여성,0.3
"희극인(개그맨 및 코미디언)","2018","연령별",39세 이하,0.4
"희극인(개그맨 및 코미디언)","2018","연령별",40대,0.3
"희극인(개그맨 및 코미디언)","2018","연령별",50대,0.2
"희극인(개그맨 및 코미디언)","2018","연령별",60세이상,0.1
"희극인(개그맨 및 코미디언)","2018","학력별",고졸 이하,0.5
"희극인(개그맨 및 코미디언)","2018","학력별",대졸,0.3
"희극인(개그맨 및 코미디언)","2018","학력별",대학원이상,0.1
"희극인(개그맨 및 코미디언)","2018","학력별",모름/무응답,0.1
"희극인(개그맨 및 코미디언)","2018","가구소득별",하(3000만원 미만),0.3
"희극인(개그맨 및 코미디언)","2018","가구소득별",중(3~5000만원 미만),0.3
"희극인(개그맨 및 코미디언)","2018","가구소득별",상(5000만원 이상),0.1
"애니메이터","2018","전체",소계,0.2
"애니메이터","2018","예술활동 분야별",문학,0
"애니메이터","2018","예술활동 분야별",미술,0.5
"애니메이터","2018","예술활동 분야별",공예,0
"애니메이터","2018","예술활동 분야별",사진,0
"애니메이터","2018","예술활동 분야별",건축,0.5
"애니메이터","2018","예술활동 분야별",음악,0
"애니메이터","2018","예술활동 분야별",국악,0
"애니메이터","2018","예술활동 분야별",대중음악,0
"애니메이터","2018","예술활동 분야별",방송,0
"애니메이터","2018","예술활동 분야별",무용,0
"애니메이터","2018","예술활동 분야별",연극,0
"애니메이터","2018","예술활동 분야별",영화,2.3
"애니메이터","2018","예술활동 분야별",만화,1.6
"애니메이터","2018","예술활동 분야별",기타,0
"애니메이터","2018","권역별",서울,0.2
"애니메이터","2018","권역별",인천/경기,0
"애니메이터","2018","권역별",부산/울산/대구/경북/경남,0.2
"애니메이터","2018","권역별",대전/충청/강원,0.9
"애니메이터","2018","권역별",광주/전라/제주,0.1
"애니메이터","2018","권역별",모름/무응답,0.2
"애니메이터","2018","성별",남성,0.2
"애니메이터","2018","성별",여성,0.3
"애니메이터","2018","연령별",39세 이하,0.5
"애니메이터","2018","연령별",40대,0
"애니메이터","2018","연령별",50대,0.3
"애니메이터","2018","연령별",60세이상,0
"애니메이터","2018","학력별",고졸 이하,0.4
"애니메이터","2018","학력별",대졸,0.2
"애니메이터","2018","학력별",대학원이상,0.1
"애니메이터","2018","학력별",모름/무응답,0
"애니메이터","2018","가구소득별",하(3000만원 미만),0.3
"애니메이터","2018","가구소득별",중(3~5000만원 미만),0.1
"애니메이터","2018","가구소득별",상(5000만원 이상),0.2
"마술사","2018","전체",소계,0.1
"마술사","2018","예술활동 분야별",문학,0
"마술사","2018","예술활동 분야별",미술,0
"마술사","2018","예술활동 분야별",공예,0
"마술사","2018","예술활동 분야별",사진,0
"마술사","2018","예술활동 분야별",건축,0
"마술사","2018","예술활동 분야별",음악,0
"마술사","2018","예술활동 분야별",국악,0
"마술사","2018","예술활동 분야별",대중음악,0
"마술사","2018","예술활동 분야별",방송,2.3
"마술사","2018","예술활동 분야별",무용,0
"마술사","2018","예술활동 분야별",연극,0.1
"마술사","2018","예술활동 분야별",영화,0
"마술사","2018","예술활동 분야별",만화,0
"마술사","2018","예술활동 분야별",기타,0.1
"마술사","2018","권역별",서울,0.1
"마술사","2018","권역별",인천/경기,0.1
"마술사","2018","권역별",부산/울산/대구/경북/경남,0.1
"마술사","2018","권역별",대전/충청/강원,0.4
"마술사","2018","권역별",광주/전라/제주,0
"마술사","2018","권역별",모름/무응답,0.2
"마술사","2018","성별",남성,0.2
"마술사","2018","성별",여성,0
"마술사","2018","연령별",39세 이하,0.4
"마술사","2018","연령별",40대,0.1
"마술사","2018","연령별",50대,0
"마술사","2018","연령별",60세이상,0
"마술사","2018","학력별",고졸 이하,0.4
"마술사","2018","학력별",대졸,0.1
"마술사","2018","학력별",대학원이상,0
"마술사","2018","학력별",모름/무응답,0
"마술사","2018","가구소득별",하(3000만원 미만),0.2
"마술사","2018","가구소득별",중(3~5000만원 미만),0.1
"마술사","2018","가구소득별",상(5000만원 이상),0
"곡예사","2018","전체",소계,0.1
"곡예사","2018","예술활동 분야별",문학,0
"곡예사","2018","예술활동 분야별",미술,0
"곡예사","2018","예술활동 분야별",공예,0
"곡예사","2018","예술활동 분야별",사진,0
"곡예사","2018","예술활동 분야별",건축,0
"곡예사","2018","예술활동 분야별",음악,0
"곡예사","2018","예술활동 분야별",국악,0.3
"곡예사","2018","예술활동 분야별",대중음악,0
"곡예사","2018","예술활동 분야별",방송,0.4
"곡예사","2018","예술활동 분야별",무용,0.6
"곡예사","2018","예술활동 분야별",연극,0.1
"곡예사","2018","예술활동 분야별",영화,0
"곡예사","2018","예술활동 분야별",만화,0
"곡예사","2018","예술활동 분야별",기타,0.8
"곡예사","2018","권역별",서울,0.3
"곡예사","2018","권역별",인천/경기,0
"곡예사","2018","권역별",부산/울산/대구/경북/경남,0.1
"곡예사","2018","권역별",대전/충청/강원,0
"곡예사","2018","권역별",광주/전라/제주,0
"곡예사","2018","권역별",모름/무응답,0
"곡예사","2018","성별",남성,0.2
"곡예사","2018","성별",여성,0
"곡예사","2018","연령별",39세 이하,0.4
"곡예사","2018","연령별",40대,0
"곡예사","2018","연령별",50대,0
"곡예사","2018","연령별",60세이상,0
"곡예사","2018","학력별",고졸 이하,0.1
"곡예사","2018","학력별",대졸,0.2
"곡예사","2018","학력별",대학원이상,0
"곡예사","2018","학력별",모름/무응답,0
"곡예사","2018","가구소득별",하(3000만원 미만),0.2
"곡예사","2018","가구소득별",중(3~5000만원 미만),0.1
"곡예사","2018","가구소득별",상(5000만원 이상),0
"디자이너","2018","전체",소계,1.7
"디자이너","2018","예술활동 분야별",문학,0.7
"디자이너","2018","예술활동 분야별",미술,2.9
"디자이너","2018","예술활동 분야별",공예,13.9
"디자이너","2018","예술활동 분야별",사진,0.7
"디자이너","2018","예술활동 분야별",건축,13.8
"디자이너","2018","예술활동 분야별",음악,0.4
"디자이너","2018","예술활동 분야별",국악,0
"디자이너","2018","예술활동 분야별",대중음악,0.6
"디자이너","2018","예술활동 분야별",방송,0.9
"디자이너","2018","예술활동 분야별",무용,0.6
"디자이너","2018","예술활동 분야별",연극,1.5
"디자이너","2018","예술활동 분야별",영화,0
"디자이너","2018","예술활동 분야별",만화,0.9
"디자이너","2018","예술활동 분야별",기타,1.1
"디자이너","2018","권역별",서울,2.5
"디자이너","2018","권역별",인천/경기,0.5
"디자이너","2018","권역별",부산/울산/대구/경북/경남,2.5
"디자이너","2018","권역별",대전/충청/강원,0.8
"디자이너","2018","권역별",광주/전라/제주,0.6
"디자이너","2018","권역별",모름/무응답,2.8
"디자이너","2018","성별",남성,1.7
"디자이너","2018","성별",여성,1.7
"디자이너","2018","연령별",39세 이하,2.6
"디자이너","2018","연령별",40대,1.5
"디자이너","2018","연령별",50대,1
"디자이너","2018","연령별",60세이상,1.5
"디자이너","2018","학력별",고졸 이하,0.5
"디자이너","2018","학력별",대졸,1.9
"디자이너","2018","학력별",대학원이상,2.1
"디자이너","2018","학력별",모름/무응답,3.2
"디자이너","2018","가구소득별",하(3000만원 미만),2
"디자이너","2018","가구소득별",중(3~5000만원 미만),1.5
"디자이너","2018","가구소득별",상(5000만원 이상),1.4
